Generation,Best Fitness,Position X,Position Y
408,3024.152627430378,11485,84040
409,3024.152627430378,11485,84040
410,3024.152627430378,11485,84040
411,3024.152627430378,11485,84040
412,3024.152627430378,11485,84040
413,3024.152627430378,11485,84040
414,3024.152627430378,11485,84040
415,3024.152627430378,11485,84040
416,3024.152627430378,11485,84040
417,3024.152627430378,11485,84040
418,3024.152627430378,11485,84040
419,3024.152627430378,11485,84040
420,3024.152627430378,11485,84040
421,3024.152627430378,11485,84040
422,3024.152627430378,11485,84040
423,3024.152627430378,11485,84040
424,3024.152627430378,11485,84040
425,3024.152627430378,11485,84040
426,3024.152627430378,11485,84040
427,3024.152627430378,11485,84040
428,3024.152627430378,11485,84040
429,3024.152627430378,11485,84040
430,3024.152627430378,11485,84040
431,3024.152627430378,11485,84040
432,3024.152627430378,11485,84040
433,3024.152627430378,11485,84040
434,3024.152627430378,11485,84040
435,3024.152627430378,11485,84040
436,3024.152627430378,11485,84040
437,3024.152627430378,11485,84040
438,3024.152627430378,11485,84040
439,3024.152627430378,11485,84040
440,3024.152627430378,11485,84040
441,3024.152627430378,11485,84040
442,3024.152627430378,11485,84040
443,3024.152627430378,11485,84040
444,3024.152627430378,11485,84040
445,3024.152627430378,11485,84040
446,3024.152627430378,11485,84040
447,3024.152627430378,11485,84040
448,3024.152627430378,11485,84040
449,3024.152627430378,11485,84040
450,3024.152627430378,11485,84040
451,3024.152627430378,11485,84040
452,3024.152627430378,11485,84040
453,3024.152627430378,11485,84040
454,3024.152627430378,11485,84040
455,3024.152627430378,11485,84040
456,3024.152627430378,11485,84040
